"New Dwelling Completion (Number) by Type of House, Local Authority and"
"Quarter"

" "," ","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1"
" ","Cork (County Council)",38,36,23,21,21,29,32,31,10,23,15,31,17,28,30,49,48,51,58,88,93,94,94,103,122,171,134,242,148,204,227,238,237
" ","Donegal (County Council)",24,32,15,4,35,3,9,1,9,2,11,0,2,5,18,2,3,14,18,7,4,22,10,8,13,25,27,25,13,15,36,40,11
" ","Fingal (County Council)",113,88,20,12,4,10,8,19,11,13,50,60,44,61,123,165,164,190,231,321,236,256,209,338,256,309,360,372,295,593,492,458,279
" ","Galway (County Council)",1,4,6,6,4,2,1,1,4,0,4,2,3,3,4,1,3,15,19,9,8,28,17,14,21,26,25,45,35,23,20,45,40
" ","Kerry (County Council)",8,2,19,4,4,2,1,0,2,0,7,7,11,5,5,8,6,2,10,16,7,15,19,16,5,4,31,29,39,32,50,49,28
" ","Kildare (County Council)",17,4,7,24,19,12,15,28,17,34,24,29,33,43,58,70,79,106,127,124,97,118,106,175,156,167,203,266,206,218,274,331,345
" ","Kilkenny (County Council)",1,9,39,0,0,0,0,22,0,2,1,3,5,1,1,1,1,1,2,10,1,6,16,13,7,1,5,11,1,15,7,16,16
" ","Laois (County Council)",12,6,3,10,4,16,8,4,4,5,2,9,4,1,2,4,2,4,8,7,10,7,5,11,4,6,4,4,9,62,21,13,14
" ","Leitrim (County Council)",0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,3,1,4,2,1,6,11,3,6,5,1,10,9,1
" ","Longford (County Council)",2,0,4,0,10,13,13,0,0,0,2,2,5,1,6,4,2,13,1,1,4,3,0,1,1,1,8,11,0,4,4,7,27
" ","Louth (County Council)",14,19,5,6,5,2,39,47,33,56,21,17,2,10,12,25,45,9,13,24,22,40,19,39,57,41,81,86,96,107,97,124,125
" ","Mayo (County Council)",3,9,39,14,6,6,0,0,0,1,6,36,2,0,2,1,2,2,7,7,7,0,10,19,9,5,5,15,20,13,20,22,44
" ","Meath (County Council)",10,6,24,11,5,7,10,11,13,9,9,9,11,14,26,25,20,40,41,45,51,89,112,122,131,164,212,316,238,264,320,399,226
" ","Monaghan (County Council)",3,0,2,4,21,0,1,0,3,2,0,7,0,2,0,5,8,4,0,18,1,2,0,6,0,18,13,15,2,9,2,1,31
" ","Offaly (County Council)",5,4,0,6,0,0,2,2,0,0,2,1,1,0,5,5,9,1,17,0,1,0,1,11,16,14,10,14,10,1,0,8,7
" ","Roscommon (County Council)",0,23,8,0,1,1,2,0,1,0,7,0,2,0,2,0,1,0,0,0,1,10,3,5,2,10,3,16,8,6,11,18,4
" ","Sligo (County Council)",7,7,7,1,17,33,0,2,0,0,0,2,0,0,0,0,4,1,1,5,0,0,3,4,0,4,11,21,15,18,16,10,1
" ","Westmeath (County Council)",11,6,1,4,0,0,0,2,0,1,0,1,0,0,0,6,0,4,3,4,10,3,6,7,6,9,8,7,3,0,0,34,20
" ","Wexford (County Council)",8,10,19,6,2,4,4,4,0,5,2,10,9,2,11,11,4,14,18,43,20,27,6,8,35,31,34,24,37,50,73,60,68
